Günbatar Bogemiya uniwersiteti	1
Kaman yörite orta hünärmenlik mekdebi	1
Bilecik Seyh Edebali uniwersiteti	1
Henri Puankare Nensi I uniwersiteti,Dijon Akademiyasy	1
Istanbul Medeniyet Uniwersiteti	1
Ümraniye Senagat Hünärmen liseyi	1
Hebetek Inzeniring LTD,layyklyk sahadatnamasy	1
Istanbul Bilgi uniwersiteti,Marmara uniwersiteti	1
Hatay-Dörtyol liseyi	1
Kadirli Anadolu yörite orta hünärmen mekdebi	1
Aziya-Yuwas okean sebitini dolandyrys kollezi	1
Orta mekdep (PRO-DRV kran kursy)	1
Moskwa säheri. N.E.Bauman adyndaky Moskwanyn Döwlet Tehniki Uniwersiteti	1
Berlin s. tehniki uniwersiteti	1
Malatya s.orta mekdebi, Stambul s.Hereketli kran is tehnikasyny ulanmak  kursy	1
Rugao yörite orta hünärmenlik mekdebi	1
AKTAS ATATÜRK hünärmentlik we tehniki Anadolu liseyi	1
1.Iclal Ekenler liseyi,2.Saglygy we zähmeti gorayys instituty,3.Hünär Yeterlilik resminamasy	1
Senay «Antonio Souze Noseze » yörite orta hünärmen mekdebi	1
Kozlu yörite orta hünärmenlik mekdebi	1
Osmaniye s.orta mekdep,Kurs tamamlama sahadatnamaly	1
Turgut Ozal yörite orta hünämenlik mekdebi	1
Istanbul Uniwersiteti,Tehniki howpsuzlyk boyunça hünär sahadatnamaly	1
Anadolu uniwersiteti,Eskisehir Hünärmen liseyi	1
Mehmet Akif Ersoy uniwersiteti/ Tehniki bilimler yokary okuw jayy	1
Yörite Düldül gurlusyk tehnikalarynyn operatorlyk kursy	1
Germaniya Uniwersiteti	1
Hayat Boyu Ögrenme Genel Müdürligi/Istanbul -Kartal hünärmençilik okuw merkezi	1
Süleyman Demirel Anadolu yörite orta hünärmenlik mekdebi, Kebsirleyjinin is hünär sahadatnamaly	1
Hindistanyn tehniki okuwlaryn döwlet dolandyrysy	1
Bengal Biznes barlaglary instituty	1
Adana-Seyhan /Motor yörite orta hünärmenlik mekdebi	1
Glazgow s.yokary okuw jayy	1
Kahramanmaras Cumhuriyet yörite orta hünärmenlik mekdebi, MYK hünär ussalygynyn sahadatnamasy	1
GBR., s.Berwick-Upon-Tweed orta mekdep	1
Hatay-Erzin-Halk Egitim Merkezi	1
Londonyn "City and Guilds" instituty	1
Hatay s. hünärmen we tehniki bilim merkezi	1
Mustafa Kemal uniwersiteti,Iskenderun Hünärmen liseyi	1
Osmaniye Uniwersiteti	1
Osmaniye senagat yörite orta hünärmenlik mekdebi	1
Ricardo Palma uniwersiteti	1
