SetToDash,Name,UsageCount,Guess,ActualPositionId
,POSTABAŞI / BOP,2,review,4daf569e-01c9-485d-8470-08ded5cff1a6
,Proje direktörü,2,,308c0710-3871-416b-85ce-08ded5cff1a6
,PROJE KONTROL MÜHENDİSİ,2,,b9566892-97f1-4839-846b-08ded5cff1a6
,PROJE KOORDİNATÖRÜ,2,,460c0d8c-d985-40b3-83b5-08ded5cff1a6
,Proje Şefi,2,,323345c6-ce95-46b7-8425-08ded5cff1a6
,"RTU (Remote Terminal Unit), doğalgaz çevrim (CCGT) santrallerinde saha ekipmanları",2,review,f234cbaa-79cc-4528-83aa-08ded5cff1a6
,Saha Mekanik Mühendisi,2,,7a09814b-e5c5-41ff-85d0-08ded5cff1a6
,SAHA MİHENDİSİ,2,,10f311c9-9c2f-4711-837f-08ded5cff1a6
,Saha İnşaat Mühendisi,2,,5385201b-f254-4e65-84ab-08ded5cff1a6
,SAHA İNŞAAT MÜHENDİSİ,2,,ac188fa3-6ba3-470a-848d-08ded5cff1a6
,Sekondar Panel Süpervizör,2,,1c62a6dc-96ca-41cd-8645-08ded5cff1a6
,Self Cleaning Filter Süpervizörü,2,,d16ea1e1-346f-4545-8398-08ded5cff1a6
,Service Engineer,2,,40978660-b58d-42f0-8389-08ded5cff1a6
,Sieyuan’nin Montaj ve devreye alma süpervizörü,2,review,509fa2df-f9e7-4db6-842d-08ded5cff1a6
,Spmt Operatörü,2,,1a50f2c9-4bd0-46bd-9b83-08ded5cfb542
,Supervision of steam test on ASME 1 Valves,2,,1626892b-a6fa-4245-868f-08ded5cff1a6
,Süpervizör (Jeneratör),2,,6c8d2bad-0faa-4cc5-8424-08ded5cff1a6
,Süpervizör (Kesiciler),2,,124b2de4-60c8-49a1-84d5-08ded5cff1a6
,Süpervizörlük Hizmeti Talebi,2,,0354c26b-fb14-4fe4-852f-08ded5cff1a6
,SÜPERVİZOR,2,,3068eb0b-70aa-4975-853c-08ded5cff1a6
